Message Name,mToken,Field Number (fNum),Field Name (name),Field Type (fType),Enum Set (eSet),Field Description (desc),Data Products
LiveAtmVol,OptSurface,10,ekey,ExpiryKey,,,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,100,ticker,TickerKey,,underlying tickerKey (stock or product group) that this option expiration is associated with,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,103,uPrc,Double,,effective underlier price,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,106,years,Float,,SR years to expiry metric,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,109,rate,Float,,average expected interest rate to expiry (SR global rate curve),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,112,ddiv,Float,,(expected) cumulative discrete dividend $ amounts prior to expiration (if any),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,115,ddivPv,Float,,(expected) cumulative npv of discrete dividend $ amounts prior to expiration (SR global rate curve) (if any),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,118,ddivSource,Enum,"None,Announced,Forecast",Forecast if any of the dividends prior to expiry are forecast rather than announced,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,121,atmVol,Float,,atm vol (xAxis = 0),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,124,atmEMA,Float,,atm vol exp moving average (half-life ~ 30 seconds),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,127,uPrcRatio,Double,,uPrc = uPrcDriver * uPrcRatio (when priceType = Future); uPrc = uPrcDriver (when priceType = Equity),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,130,uPrcRatioEMA,Double,,time smoothed implied uPrcRatio (half-life ~ 30 seconds),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,133,sdiv,Float,,stock dividend (borrow rate) (derived from call/put balance when priceType=Stock; =rate otherwise),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,136,sdivEMA,Float,,sdiv exp moving average (half-life ~ 30 seconds),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,139,minCPAdjVal,Double,,minimum cpAdjVal (sdiv or uPrcRatio),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,142,maxCPAdjVal,Double,,minimum cpAdjVal (sdiv or uPrcRatio),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,145,cpAdjType,Enum,"None,SDiv,UPrcRatio",adjustment used to align calls/puts,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,148,priceType,Enum,"None,Equity,Future",[Equity] has independent uPrc and rate with sdiv derived from call/put balance; [Future] has sdiv = rate with uPrc' derived from call/put balance,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,151,uPrcDriverKey,ExpiryKey,,underlier driver key,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,154,uPrcDriverType,Enum,"None,Stock,Future,Option,MLeg",underlier driver key type (stock or future),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,157,uPrcDriver,Double,,underlier driver (mid-market),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,160,axisFUPrc,Float,,forward underlier price;  also at-the-money (xAxis = 0) synthetic strike,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,163,synSpot,Double,,Synthetic spot price (market-derived spot when the underlying is not a traded instrument),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,166,vWidth,Float,,atm volatility market width (estimated from near expiries),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,169,numAtmStrikes,Byte,,,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,172,tradeableStatus,Enum,"None,OK,SurfaceErr,LowCCnt,LowPCnt,FitPrcErr,BidAskMiss,LowCounter,DefaultSkew,SessionMiss,BaseErr,SwitchDelay,WideMktV,WideMktP,WideUMkt,UWidthEma,CCntEma,PCntEma,VWidthEma,PWidthEma,Closed",indicates whether the surface is currently tradeable or not (all server surface integrity checks pass),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,175,surfaceResult,Enum,"None,OK,Exception,AxisError,MarketClosed,NoBaseSurface,NoFutUPrc,NoStkUPrc,NullStock,UnknownFKey,ZeroYrs,MarketHalted,WideUMkt,BaseSurface,NotEnoughStrikes,KernelIVErr,KernelCPErr,ProxyError,BadAtmVol,BadSDiv,BadUOff,NoBaseAtmVol,NoDriverStock,NoDriverFuture",,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,178,netTimestamp,Long,,most recent unix timestamp (all option quotes),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveAtmVol,OptSurface,181,timestamp,DateTime,,,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI"
LiveImpliedQuote,OptAnalytics,10,okey,OptionKey,,,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,100,ticker,TickerKey,,SR Ticker that this option rolls up to,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,103,uPrc,Float,,underlier price (usually mid-market),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,106,uOff,Float,,implied underlier price offset (if any),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,109,years,Float,,years to expiration,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,112,xAxis,Float,,option moneyness,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,115,rate,Float,,discount rate,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,118,sdiv,Float,,sdiv (continuous stock dividend) rate,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,121,ddiv,Float,,cumulative discrete dividend value,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,124,oBid,Float,,option bid price,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,127,oAsk,Float,,option ask price,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,130,oBidIv,Float,,volatility implied by option bid price,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,133,oAskIv,Float,,volatility implied by option ask price,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,136,atmVol,Float,,option atm volatility (from SR surface),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,139,sVol,Float,,option surface volatility (SR surface fit model),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,142,sPrc,Float,,"option surface price; ie. PRICE(sVol, uPrc + uOff, years, rate, sDiv, {discrete dividends, if any})","EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,145,sMark,Float,,option surface mark (option surface price w/bounding rules; always between bid/ask),"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,148,veSlope,Float,,veSlope = dVol / dUprc (assuming vol @ xAxis = 0 remains constant); hedgeDelta = (de + ve * 100 * veSlope) if hedging with this assumption,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,151,de,Float,,option delta,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
LiveImpliedQuote,OptAnalytics,154,ga,Float,,option gamma,"EqtOptAnalyticsAPI,FutOptAnalyticsAPI,LiveImpliedQuoteAPI"
