Stripe,startTicker,endTicker
A1,"""A""","""AMZN"""
A2,"""AMZN""","""COIN"""
,,
B1,"""COIN""","""ENQZZ"""
B2,"""ENQZZ""","""GOOGL"""
,,
C1,"""GOOGL""","""IWM"""
C2,"""IWM""","""LRCX"""
,,
D1,"""LRCX""","""METAA"""
D2,"""METAA""","""NFLX"""
,,
E1,"""NFLX""","""NVDA"""
E2,"""NVDA""","""NVDAA"""
,,
F1,"""NVDAA""","""QQQ"""
F2,"""QQQ""","""QQQA"""
,,
G1,"""QQQA""","""SPY"""
G2,"""SPY""","""SPYA"""
,,
H1,"""SPYA""","""TSLAA"""
H2,"""TSLAA""","""ZZZZZZ"""
,,
A,"""A1""","""A2"""
B,"""B1""","""B2"""
C,"""C1""","""C2"""
D,"""D1""","""D2"""
E,"""E1""","""E2"""
F,"""F1""","""F2"""
G,"""G1""","""G2"""
H,"""H1""","""H2"""
